"","RMSE.Bn.Engerer2","RMSE.Bn.Starke2","RMSE.Bn.Starke3","RMSE.Bn.Yang4","RMSE.Bn.Yang5","MBE.Bn.Engerer2","MBE.Bn.Starke2","MBE.Bn.Starke3","MBE.Bn.Yang4","MBE.Bn.Yang5"
"100",17.07,23.79,19.43,18.56,15.3,7.35,18.03,13.37,10.98,5.89
"101",15.63,14.19,14.43,13.01,13.03,-4.56,3.02,-4.73,-3.51,-4.14
"102",18.41,20.04,16.55,16.36,15.78,0.66,10.45,2.75,1.02,1.49
"103",17.62,17.37,17.05,15.52,14.98,-2.04,7.07,4.21,-0.73,1.59
"104",20,20.22,16.32,16.76,15.94,1.29,9.94,1.56,1.55,1.82
"105",27.86,29.92,25.48,25.36,24.95,6.91,15.46,2.35,5.44,7.04
"106",25.84,22.51,23.9,22.01,21.29,-3.42,1.83,-7.3,-2.78,-2.15
"107",29.45,24.78,26.85,27.01,25.3,-6.89,-1.1,-9.1,-7.6,-5.9
"108",11.66,18.8,14.07,14.83,9.74,4.78,15.97,10.82,8.58,1.34
"109",16.33,19.68,16.63,14.74,14.98,-0.77,11.17,7.39,1.48,1.53
"110",16.9,19.52,15.81,15.32,15.4,0.15,10.41,1.28,1.73,1.92
"111",16.74,19.86,18.43,15.49,15.68,0.96,11.5,9.17,2.24,4.75
"112",16.88,17.31,16.99,16.03,15.16,-2.25,5.57,3.42,-2.33,0.38
"113",14.33,11.95,13.43,11.63,11.1,-6.96,1.04,-5.59,-4.6,-3.15
"114",22.91,21.99,20.1,20.55,19.21,0.82,7.73,-0.43,1,1.95
"115",21.99,26.62,22.58,22.11,17.43,2.76,14.37,-3.28,5.06,-3.04
"116",14.12,15.1,12.64,13.39,13.12,-0.2,7.58,1.53,1.92,3.76
"117",26.93,31.12,29.11,27.41,24.4,12.42,22.68,19.78,14.25,12.59
"118",16.76,20.48,16.55,16.79,14.98,3.07,12.93,7.3,5.67,0.29
"119",14.71,19.42,16.4,14.87,20.05,1.83,12.75,5.48,5.15,-12.22
"120",48.72,48.01,37.31,44,40.53,27.01,31.86,17.67,21.71,22.44
"121",19.79,19.85,18.6,17.68,17.06,-1.08,7.51,-3.33,-1.81,-0.2
"122",14.79,14.91,13.4,12.48,12.39,-2.96,4.91,1.83,-0.89,0.57
"123",20.28,21.56,18.21,17.79,17.82,1.38,9.01,3.38,1.68,2.9
"124",21.84,18.72,22.12,20.8,18.86,-5.09,1.12,-8.36,-5.08,-2.39
"125",14.39,13.51,13.33,11.57,11.21,-4.62,2.8,-3.79,-2.83,-1.13
"126",10.43,8.67,8.06,8.59,7.93,-5.82,2.73,0.45,-3.72,-2.72
