"","RMSE.Dh.Engerer2","RMSE.Dh.Starke2","RMSE.Dh.Starke3","RMSE.Dh.Yang4","RMSE.Dh.Yang5","MBE.Dh.Engerer2","MBE.Dh.Starke2","MBE.Dh.Starke3","MBE.Dh.Yang4","MBE.Dh.Yang5"
"80",32.87,34.72,32.46,32.58,29.33,-3.39,-15.79,4.3,-10.89,-4.32
"81",27.26,30.55,23.37,30.5,21.18,-9.21,-14.3,6.68,-13.06,3.64
"82",42.11,42.03,43.81,36.06,35.61,14.03,-8.76,17.54,7.57,12.85
"83",40.96,41.51,35.14,34.17,32.65,1.83,-16.65,3.04,-0.22,1.77
"84",46,39.23,40.83,41.52,38.96,12.27,2.76,12.12,12.53,10.15
"85",64.66,79.07,75.47,67.24,52.58,-15.6,-43.1,-40.62,-21.8,-6.09
"86",32.09,30.54,26.31,27.5,26.82,-0.99,-9.3,-0.3,0.35,-1.5
"87",38,49.41,40.42,35.91,39.28,-4.17,-26.94,9.31,-6.87,16.06
"88",65.48,51.94,75.51,64.17,63.17,34.68,18.57,50.72,41.37,39.66
"89",41.37,37.89,35.72,36,35.78,4.43,-7.66,4.29,3.83,4.22
"90",38.26,41.68,32.91,37.69,36.57,-4.86,-21.73,-11.68,-10.31,-12.47
"91",33.06,33.32,25.78,28.03,26.96,-5.08,-15.87,-4.04,-3.44,-4.61
"92",37.36,32.71,32.93,33.11,32.68,2.54,-4.88,6.12,4.86,5.84
"93",39.19,37.72,32.79,33.4,33.94,2.4,-14.19,1.24,-2.71,-5.75
"94",38.52,47.7,37.52,36.72,35.56,-3.34,-28.35,-12.15,-11.38,-8.33
"95",40.11,34.5,42.2,41.48,45.62,18.64,10.7,29.12,19.8,32.08
"96",36.45,31.28,30.8,30.37,31.12,7.49,-4.85,7.58,9.51,11.44
"97",44.1,31.07,26.95,37.06,32.6,5.51,-12.62,-5.91,5.35,4.13
"98",45.8,42.22,42.23,37.57,38.68,10.45,0.65,9.48,7.86,4.65
"99",38.01,34.3,32.16,31.47,30.14,7.74,-10.83,7.85,4.09,1.65
"100",42.16,55.63,45.15,46.92,35.85,-17.8,-40,-29.7,-26.81,-12.09
"101",39.01,35.81,35.33,31.41,32.74,9.29,-6.91,10.85,6.98,9.94
"102",35.96,38.46,30.34,31.56,30.25,-2.49,-18.81,-4.33,-3.29,-2.74
"103",36.35,37.83,34.8,31.34,31.15,2.14,-17.15,-11.82,-1.22,-5.03
"104",37.18,32.24,29.71,29.69,30.17,6.63,-6.95,7.58,6.1,6.91
"105",33.39,35.29,30.13,30.21,28.95,-8.05,-17.22,-2.47,-7.03,-7.59
"106",36.93,32.03,33.18,29.77,30.36,3.87,-3.37,9.95,2.34,2.51
"107",38.51,33.4,31.75,33,32.47,6.21,-1.35,9.27,6.36,5.49
"108",31.82,50.41,38.51,41.38,24.61,-15.11,-40.81,-29.11,-26.14,-4.84
"109",47.94,56.32,45.2,42.63,43.3,2.19,-30.36,-17.37,-4.69,-2.86
"110",36.89,40.46,33.29,32.28,32.31,-0.48,-19.97,-0.86,-4.1,-2.91
"111",39.97,43.31,40.05,35.46,35.44,0.87,-21.14,-16.29,-2.35,-6.72
"112",36.8,35.99,35.62,34.74,32.79,3.96,-10.55,-6.1,4.31,-0.21
"113",49.18,41.77,48.68,37.97,38.58,21.98,-2.04,20.73,13.44,10.84
"114",32.26,30.73,26.23,27.22,25.96,-0.78,-9.56,1.99,-1.35,-1.55
"115",62.51,73.78,69.37,62.99,47.92,-7.36,-36.28,14.69,-13.27,7.66
"116",37.22,37.31,31.31,34.54,33.48,2.75,-15.18,0.11,-3.18,-5.99
"117",53.12,60.16,55.41,54.11,45.47,-18.63,-36.61,-33.27,-22.68,-18.44
"118",37.68,44.32,35.9,38.29,33.41,-7.44,-25.93,-14.77,-13.97,0.19
"119",42.74,55.87,47.48,42.74,64.78,-3.41,-35.51,-12.84,-14.02,38.92
"120",30.39,28.85,22.16,27.35,24,-11.82,-15.35,-5.84,-8.45,-7.92
"121",34.15,33.08,30.95,29.86,28.91,1.32,-11.48,6.79,2.66,0.91
"122",38.31,38.24,33.7,31.38,31.82,6.42,-10.85,-4.21,0.99,-0.82
"123",33.71,33.54,27.85,28.95,29.03,0.23,-10.97,-1.53,-0.92,-1.6
"124",40.75,35.54,41.47,37.82,35.6,7.25,-1.97,14.35,7.11,3.89
"125",41.78,38.89,39.7,32.47,32.5,11.98,-6.23,12.36,6.67,3.76
"126",44.81,38.88,35.52,37.58,36.52,21.57,-9.55,-1.92,13.73,11.25
